masked,cluster,original_examples,original_count
"/ajaxFilter/p<NUM>,b<NUM>?page=<NUM>",-1,"/ajaxFilter/p65,b1?page=2|||/ajaxFilter/p65,b1?page=1",2
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,-1,/amp-helper-frame.html?appId=a624a1c1-0c93-466a-a546-e146710f97e6&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www.zanbil.ir,-1,/amp-helper-frame.html?appId=a624a1c1-0c93-466a-a546-e146710f97e6&parentOrigin=https://www.zanbil.ir,1
/amp_preconnect_polyfill_<NUM>_or_other_error_expected._Do_not_worry_about_it?<NUM>,-1,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117000000|||/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117180000,2
/discountLabel/get/<NUM>?type=mobileSmallIcon,-1,/discountLabel/get/3?type=mobileSmallIcon,1
"/filter/p<NUM>,v<NUM>|سیلور.,v<NUM>|سفید.?o=v<NUM>",-1,"/filter/p5,v1|سیلور.,v1|سفید.?o=v1",1
/image/<NUM>?name=-gold-select...-.jpg&wh=max,-1,/image/28821?name=-gold-select...-.jpg&wh=max,1
/image/<NUM>?name=s<NUM>-alternatedefaultimage-<NUM>-<NUM>fe<NUM>eb-<NUM>c<NUM>-<NUM>f<NUM>c-afde-bc<NUM>add<NUM>ac<NUM>.jpg&wh=<NUM>x<NUM>,-1,/image/19274?name=s5070-alternatedefaultimage-1-9fe809eb-9c55-4f2c-afde-bc0add04ac25.jpg&wh=200x200,1
/m/browse/refrigerator-and-freezer/یخچال-فریزر,-1,/m/browse/refrigerator-and-freezer/یخچال-فریزر,1
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-مردانه-کاترپیلار-مدل-LB.<NUM>.<NUM>.<NUM>,-1,/product/31656/61761/ساعت-مچی-عقربه-ای-مردانه-کاترپیلار-مدل-LB.111.24.134,1
/m/updateVariation?__amp_source_origin=https://www.zanbil.ir,-1,/m/updateVariation?__amp_source_origin=https://www.zanbil.ir,1
/m/prepareSearch?phrase=,-1,/m/prepareSearch?phrase=,1
/image/<NUM>?name=silver-select....-.jpg&wh=max,-1,/image/28821?name=silver-select....-.jpg&wh=max,1
/login/auth,-1,/login/auth,1
/product/<NUM>?model=<NUM>,-1,/product/7570?model=9258|||/product/13016?model=21698|||/product/15856?model=29949|||/product/20904?model=45240|||/product/2623?model=2699,13
/site/alexaGooleAnalitic,-1,/site/alexaGooleAnalitic,1
/static/images/guarantees/bestPrice.png,0,/static/images/guarantees/bestPrice.png,1
/static/images/guarantees/fastDelivery.png,0,/static/images/guarantees/fastDelivery.png,1
/static/images/guarantees/goodShopping.png,0,/static/images/guarantees/goodShopping.png,1
/static/images/guarantees/support.png,0,/static/images/guarantees/support.png,1
/static/images/amp/instagram.png,0,/static/images/amp/instagram.png,1
/static/images/amp/telegram.png,0,/static/images/amp/telegram.png,1
/static/bundle-bundle_site_defer.min.js,0,/static/bundle-bundle_site_defer.min.js,1
/robots.txt,0,/robots.txt,1
/static/images/amp/blog.png,0,/static/images/amp/blog.png,1
/static/css/font_awesome/fonts/fontawesome-webfont.woff<NUM>?v=<NUM>.<NUM>.<NUM>,0,/static/css/font_awesome/fonts/fontawesome-webfont.woff2?v=4.7.0,1
/static/images/amp/third-party/footer-mobile.png,0,/static/images/amp/third-party/footer-mobile.png,1
/static/images/favicon.ico,0,/static/images/favicon.ico,1
/static/css/font/wyekan/font.woff,0,/static/css/font/wyekan/font.woff,1
/static/bundle-bundle_site_head.css,0,/static/bundle-bundle_site_head.css,1
/manifest.json,0,/manifest.json,1
/favicon.ico,0,/favicon.ico,1
/static/images/guarantees/warranty.png,0,/static/images/guarantees/warranty.png,1
/static/images/search-category-arrow.png,0,/static/images/search-category-arrow.png,1
/static/images/third-party/footer.png,0,/static/images/third-party/footer.png,1
/static/js/accordion.js?_=<NUM>,0,/static/js/accordion.js?_=1548117047784|||/static/js/accordion.js?_=1548117035128|||/static/js/accordion.js?_=1548117042983,3
/m/product/<NUM>/<NUM>/گوشی-موبایل-اپل-مدل-iPhone-XS-<NUM>GB,1,/m/product/33631/64998/گوشی-موبایل-اپل-مدل-iPhone-XS-256GB,1
/m/product/<NUM>/<NUM>/آب-پرتقال-گیری-گاستروبک-مدل-<NUM>,1,/m/product/5820/6404/آب-پرتقال-گیری-گاستروبک-مدل-41138,1
/m/product/<NUM>/<NUM>/آب-پرتقال-گیری-تفال-مدل-<NUM>,1,/m/product/3597/2542/آب-پرتقال-گیری-تفال-مدل-8309,1
/m/product/<NUM>/<NUM>/ماشین-اصلاح-صورت-پرنسلی-مدل-PR<NUM>AT,1,/m/product/32574/62991/ماشین-اصلاح-صورت-پرنسلی-مدل-PR465AT,1
/m/product/<NUM>/<NUM>/گوشی-موبایل-سامسونگ-مدل-Galaxy-A<NUM>-(<NUM>)-Dual-<NUM>GB-(SM-A<NUM>),1,/m/product/33978/64784/گوشی-موبایل-سامسونگ-مدل-Galaxy-A9-(2018)-Dual-128GB-(SM-A920),1
/m/product/<NUM>/<NUM>/گوشی-موبایل-اپل-مدل-iPhone-<NUM>-<NUM>GB,1,/m/product/28821/57721/گوشی-موبایل-اپل-مدل-iPhone-7-128GB,1
